,lipid,n,method,ML,R2
396,HexCer(d32:2) ,closest,NA,knn,0.3464
397,HexCer(d32:2) ,closest,NA,lasso,-0.0001
398,HexCer(d32:2) ,closest,NA,dummy,-0.0001
399,PC 40:6,closest,NA,catboost,0.2823
400,PC 40:6,closest,NA,xgboost,0.248
401,PC 40:6,closest,NA,lr,0.2027
402,PC 40:6,closest,NA,ridge,0.2027
403,PC 40:6,closest,NA,knn,0.1567
404,PC 40:6,closest,NA,lasso,-0.0
405,PC 40:6,closest,NA,dummy,-0.0
406,PG(38:3) ,closest,NA,catboost,0.1555
407,PG(38:3) ,closest,NA,xgboost,0.1147
408,PG(38:3) ,closest,NA,lr,0.1119
409,PG(38:3) ,closest,NA,ridge,0.1119
410,PG(38:3) ,closest,NA,knn,0.0128
411,PG(38:3) ,closest,NA,lasso,-0.0
412,PG(38:3) ,closest,NA,dummy,-0.0
413,PA 36:2,closest,NA,catboost,0.3009
414,PA 36:2,closest,NA,xgboost,0.2713
415,PA 36:2,closest,NA,lr,0.2106
416,PA 36:2,closest,NA,ridge,0.2106
417,PA 36:2,closest,NA,knn,0.1707
418,PA 36:2,closest,NA,lasso,-0.0001
419,PA 36:2,closest,NA,dummy,-0.0001
420,PC 36:3,closest,NA,catboost,0.184
421,PC 36:3,closest,NA,xgboost,0.15
422,PC 36:3,closest,NA,lr,0.1303
423,PC 36:3,closest,NA,ridge,0.1303
424,PC 36:3,closest,NA,knn,0.0552
425,PC 36:3,closest,NA,lasso,-0.0001
426,PC 36:3,closest,NA,dummy,-0.0001
427,PG(42:6) ,closest,NA,catboost,0.2711
428,PG(42:6) ,closest,NA,xgboost,0.2329
429,PG(42:6) ,closest,NA,lr,0.1903
430,PG(42:6) ,closest,NA,ridge,0.1903
431,PG(42:6) ,closest,NA,knn,0.1399
432,PG(42:6) ,closest,NA,lasso,-0.0001
433,PG(42:6) ,closest,NA,dummy,-0.0001
434,PA(42:8) ,closest,NA,catboost,0.1745
435,PA(42:8) ,closest,NA,xgboost,0.1182
436,PA(42:8) ,closest,NA,lr,0.1105
437,PA(42:8) ,closest,NA,ridge,0.1105
438,PA(42:8) ,closest,NA,knn,0.0339
439,PA(42:8) ,closest,NA,lasso,-0.0001
440,PA(42:8) ,closest,NA,dummy,-0.0001
441,LPC O- 18:3,closest,NA,catboost,0.1376
442,LPC O- 18:3,closest,NA,xgboost,0.0993
443,LPC O- 18:3,closest,NA,lr,0.0926
444,LPC O- 18:3,closest,NA,ridge,0.0926
445,LPC O- 18:3,closest,NA,lasso,-0.0001
446,LPC O- 18:3,closest,NA,dummy,-0.0001
447,LPC O- 18:3,closest,NA,knn,-0.0164
448,HexCer 40:0,closest,NA,catboost,0.3015
449,HexCer 40:0,closest,NA,xgboost,0.252
450,HexCer 40:0,closest,NA,lr,0.2096
451,HexCer 40:0,closest,NA,ridge,0.2096
452,HexCer 40:0,closest,NA,knn,0.1436
453,HexCer 40:0,closest,NA,lasso,-0.0002
454,HexCer 40:0,closest,NA,dummy,-0.0002
455,Cer 42:2,closest,NA,catboost,0.2704
456,Cer 42:2,closest,NA,xgboost,0.2208
457,Cer 42:2,closest,NA,lr,0.1875
458,Cer 42:2,closest,NA,ridge,0.1875
459,Cer 42:2,closest,NA,knn,0.1244
460,Cer 42:2,closest,NA,lasso,-0.0001
461,Cer 42:2,closest,NA,dummy,-0.0001
462,LPC 20:4,closest,NA,catboost,0.2109
463,LPC 20:4,closest,NA,xgboost,0.16
464,LPC 20:4,closest,NA,lr,0.1421
465,LPC 20:4,closest,NA,ridge,0.1421
466,LPC 20:4,closest,NA,knn,0.0835
467,LPC 20:4,closest,NA,lasso,-0.0
468,LPC 20:4,closest,NA,dummy,-0.0
469,PC 31:0,closest,NA,catboost,0.1541
470,PC 31:0,closest,NA,xgboost,0.1306
471,PC 31:0,closest,NA,lr,0.0967
472,PC 31:0,closest,NA,ridge,0.0967
473,PC 31:0,closest,NA,lasso,-0.0001
474,PC 31:0,closest,NA,dummy,-0.0001
475,PC 31:0,closest,NA,knn,-0.0087
476,PS(38:0) ,closest,NA,catboost,0.3747
477,PS(38:0) ,closest,NA,xgboost,0.327
478,PS(38:0) ,closest,NA,lr,0.2504
479,PS(38:0) ,closest,NA,ridge,0.2504
480,PS(38:0) ,closest,NA,knn,0.2265
481,PS(38:0) ,closest,NA,lasso,-0.0002
482,PS(38:0) ,closest,NA,dummy,-0.0002
483,PC 34.1,closest,NA,catboost,0.3232
484,PC 34.1,closest,NA,xgboost,0.2946
485,PC 34.1,closest,NA,lr,0.2218
486,PC 34.1,closest,NA,ridge,0.2218
487,PC 34.1,closest,NA,knn,0.197
488,PC 34.1,closest,NA,lasso,-0.0001
489,PC 34.1,closest,NA,dummy,-0.0001
490,SM 42:2,closest,NA,catboost,0.3182
491,SM 42:2,closest,NA,xgboost,0.2689
492,SM 42:2,closest,NA,lr,0.2086
493,SM 42:2,closest,NA,ridge,0.2086
494,SM 42:2,closest,NA,knn,0.1805
495,SM 42:2,closest,NA,lasso,-0.0002
496,SM 42:2,closest,NA,dummy,-0.0002
497,PG(36:1(OH)) ,closest,NA,catboost,0.3146
498,PG(36:1(OH)) ,closest,NA,xgboost,0.2879
499,PG(36:1(OH)) ,closest,NA,lr,0.2611
500,PG(36:1(OH)) ,closest,NA,ridge,0.2611
501,PG(36:1(OH)) ,closest,NA,knn,0.1888
502,PG(36:1(OH)) ,closest,NA,lasso,-0.0001
503,PG(36:1(OH)) ,closest,NA,dummy,-0.0001
504,PE(36:2) ,closest,NA,catboost,0.0248
505,PE(36:2) ,closest,NA,lr,0.0191
506,PE(36:2) ,closest,NA,ridge,0.0191
507,PE(36:2) ,closest,NA,xgboost,0.0187
